x1 x2 x3 x4 L
-723 778 828 -401 1
94 496 -400 420 1
-686 -295 510 -449 0
-913 -826 624 -151 0
701 -463 -155 -928 0
-223 940 -885 -24 0
-245 733 871 455 1
-552 -150 -901 201 0
-245 -203 -341 171 0
-90 -577 312 985 1
289 -303 -361 -456 0
-457 -286 -756 -849 0
-325 -490 483 -118 0
207 -972 -198 -872 0
-872 956 77 925 1
574 512 -244 -727 1
-665 -612 641 66 0
466 -457 -112 -743 0
345 961 -943 -709 1
894 143 -221 -570 1
106 -909 920 -602 0
-389 589 -92 -367 0
962 -916 -797 -676 0
-226 -36 71 -361 0
155 -28 -132 204 1
870 167 684 251 1
-46 -209 -281 -91 0
-627 877 -440 329 0
605 -831 699 472 1
119 221 630 -744 1
905 714 316 954 1
-184 885 -613 634 1
578 -27 -632 -83 1
-799 -617 536 930 0
-630 -445 -46 407 0
-977 723 -870 -623 0
-902 598 -69 -266 0
-877 987 -406 966 1
-261 172 -791 -438 0
435 -218 65 82 1
-295 60 -222 -914 0
67 -128 -989 -230 0
-693 104 -968 206 0
152 -194 -725 198 0
578 395 208 -556 1
-512 613 -714 304 0
-363 -230 539 -906 0
250 899 293 904 1
-704 352 43 -393 0
864 434 -550 272 1
-820 -677 4 853 0
806 888 284 987 1
-251 -861 20 -402 0
485 -111 645 -157 1
-304 552 176 -75 1
-851 134 -975 488 0
-44 913 -114 141 1
469 619 -327 896 1
-72 252 531 -237 1
-879 350 -531 -713 0
-475 863 720 176 1
-409 -959 -726 576 0
462 -793 -221 -834 0
-889 373 153 -265 0
910 -188 -784 405 1
-976 -933 -22 7 0
795 -766 740 -709 1
750 22 -299 733 1
-273 -445 -968 35 0
640 -788 162 718 1
445 661 692 -377 1
512 -230 563 241 1
-337 -179 -693 198 0
172 -51 565 603 1
-453 -193 417 -927 0
-703 -81 923 838 1
-270 970 -124 795 1
823 -223 418 563 1
-571 -801 447 85 0
-659 -135 68 -198 0
954 112 -967 -355 1
-768 -233 -964 792 0
483 -710 -803 -106 0
973 278 104 470 1
-864 -811 -871 -791 0
392 -709 400 371 1
-832 908 -196 -824 0
561 -677 895 -492 1
-197 138 822 53 1
777 313 -854 297 1
-779 -660 -491 -486 0
-931 381 -92 -444 0
-115 -235 346 647 1
-909 365 -577 575 0
995 686 438 681 1
-290 -33 -726 -140 0
-957 107 -567 -191 0
-907 198 429 -799 0
881 -502 -520 -671 0
564 -791 -383 978 1
920 599 40 -894 1
-836 -394 560 -372 0
215 219 331 -864 1
-48 -141 117 915 1
-250 111 -840 -853 0
-416 -545 111 37 0
338 617 144 908 1
-49 -168 -285 -268 0
-68 -719 -200 450 0
806 -530 308 300 1
348 558 251 -110 1
-405 -353 992 -427 0
-347 541 -744 160 0
231 -537 973 163 1
28 -577 -652 -59 0
306 -414 844 6 1
457 243 -181 -261 1
-127 -214 397 314 1
587 694 -563 850 1
963 847 532 20 1
-214 -59 -145 -551 0
350 514 77 -184 1
118 -941 -664 690 0
660 -837 594 -55 1
130 -799 324 805 1
-111 862 -450 703 1
672 37 -97 744 1
16 -466 -496 871 0
800 763 798 233 1
479 -532 497 986 1
596 -600 80 -118 1
773 -337 -720 28 0
-388 4 -695 -657 0
566 590 -847 812 1
377 -643 -303 -593 0
435 53 -71 395 1
845 -369 -53 -146 1
-498 -993 -383 9 0
-863 -306 920 -149 0
400 -68 745 172 1
909 8 283 -874 1
834 -423 556 -196 1
348 -24 -888 967 1
-350 -763 384 -10 0
883 579 -937 951 1
940 -546 289 468 1
-397 -377 443 -661 0
868 298 393 866 1
-774 249 963 667 1
